2025-07-02 12:28:47 | INFO | t3shield | get_lycees:2973 | Found 127 Lycees
2025-07-02 12:28:47 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_lycees - 200 - 2.164s
2025-07-02 12:28:47 | INFO | t3shield | get_arefs:2800 | Found 1 AREFs
2025-07-02 12:28:47 | INFO | t3shield | get_villes:2911 | Found 16 Villes
2025-07-02 12:28:47 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_arefs - 200 - 2.262s
2025-07-02 12:28:47 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_villes - 200 - 2.310s
2025-07-02 12:29:01 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_dps - 500 - 16.880s
2025-07-02 12:29:12 | INFO | t3shield | log_requests:49 | GET /dashboard-national - 200 - 0.002s
2025-07-02 12:29:12 | INFO | t3shield | log_requests:49 | GET /t3shield/api/current-user - 200 - 0.242s
2025-07-02 12:29:15 | INFO | t3shield | get_dps:2854 | Found 16 DPs
2025-07-02 12:29:15 | INFO | t3shield | get_villes:2911 | Found 16 Villes
2025-07-02 12:29:15 | INFO | t3shield | get_arefs:2800 | Found 1 AREFs
2025-07-02 12:29:15 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_arefs - 200 - 3.140s
2025-07-02 12:29:15 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_dps - 200 - 3.135s
2025-07-02 12:29:15 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_villes - 200 - 3.142s
2025-07-02 12:29:15 | INFO | t3shield | get_lycees:2973 | Found 127 Lycees
2025-07-02 12:29:15 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_lycees - 200 - 3.252s
2025-07-02 12:29:15 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.499s
2025-07-02 12:29:15 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.574s
2025-07-02 12:29:15 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.581s
2025-07-02 12:29:16 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.486s
2025-07-02 12:29:16 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.539s
2025-07-02 12:29:16 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.558s
2025-07-02 12:29:18 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/regions - 200 - 2.134s
2025-07-02 12:29:32 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/provinces - 200 - 13.812s
2025-07-02 12:29:32 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.778s
2025-07-02 12:29:32 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.844s
2025-07-02 12:29:32 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.844s
2025-07-02 12:30:25 | INFO | t3shield | log_requests:49 | GET /statistiques - 200 - 0.005s
2025-07-02 12:30:25 | INFO | t3shield | log_requests:49 | GET /css/nav.css - 200 - 0.004s
2025-07-02 12:30:25 | INFO | t3shield | log_requests:49 | GET /css/stats-styles.css - 200 - 0.006s
2025-07-02 12:30:25 | INFO | t3shield | log_requests:49 | GET /js/global-cache.js - 200 - 0.004s
2025-07-02 12:30:25 | INFO | t3shield | log_requests:49 | GET /js/user-management.js - 200 - 0.002s
2025-07-02 12:30:25 | INFO | t3shield | log_requests:49 | GET /js/stats-data-refined.js - 200 - 0.003s
2025-07-02 12:30:25 | INFO | t3shield | log_requests:49 | GET /t3shield/api/current-user - 200 - 0.244s
2025-07-02 12:30:27 | INFO | t3shield | get_arefs:2800 | Found 1 AREFs
2025-07-02 12:30:27 | INFO | t3shield | get_dps:2854 | Found 16 DPs
2025-07-02 12:30:27 | INFO | t3shield | get_lycees:2973 | Found 127 Lycees
2025-07-02 12:30:27 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_arefs - 200 - 2.056s
2025-07-02 12:30:27 | INFO | t3shield | get_villes:2911 | Found 16 Villes
2025-07-02 12:30:27 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_dps - 200 - 2.111s
2025-07-02 12:30:27 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_lycees - 200 - 2.137s
2025-07-02 12:30:27 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_villes - 200 - 2.152s
2025-07-02 12:30:28 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.510s
2025-07-02 12:30:28 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.565s
2025-07-02 12:30:28 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.601s
2025-07-02 12:30:31 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.976s
2025-07-02 12:30:33 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.474s
2025-07-02 12:30:33 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.610s
2025-07-02 12:30:33 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.614s
2025-07-02 12:30:33 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.583s
2025-07-02 12:30:34 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.699s
2025-07-02 12:30:34 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.819s
2025-07-02 12:30:34 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.544s
2025-07-02 12:30:34 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.574s
2025-07-02 12:30:34 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.580s
