2025-07-04 10:11:08 | INFO | t3shield | log_requests:50 | GET /api/statistics - 200 - 4.330s
2025-07-04 10:11:11 | INFO | t3shield | log_requests:50 | GET /api/statistics - 200 - 2.927s
2025-07-04 10:11:13 | INFO | t3shield | log_requests:50 | GET /api/analyses - 200 - 0.372s
2025-07-04 10:11:13 | INFO | t3shield | log_requests:50 | GET /api/analyses - 200 - 0.344s
2025-07-04 10:12:05 | INFO | t3shield | log_requests:50 | GET /api/analyses - 200 - 0.373s
2025-07-04 10:12:05 | INFO | t3shield | log_requests:50 | GET /api/analyses - 200 - 0.343s
2025-07-04 10:12:20 | INFO | t3shield | log_requests:50 | GET /api/analyses - 200 - 0.345s
2025-07-04 10:12:20 | INFO | t3shield | log_requests:50 | GET /api/analyses - 200 - 0.327s
2025-07-04 10:12:23 | INFO | t3shield | log_requests:50 | GET /t3shield/api/geojson/regions - 200 - 2.879s
2025-07-04 10:12:30 | INFO | t3shield | log_requests:50 | GET /t3shield/api/geojson/provinces - 200 - 10.451s
2025-07-04 10:12:30 | INFO | t3shield | log_requests:50 | GET /t3shield/api/geojson/regions - 200 - 7.560s
2025-07-04 10:12:38 | INFO | t3shield | log_requests:50 | GET /t3shield/api/geojson/provinces - 200 - 8.325s
2025-07-04 10:24:52 | INFO | t3shield | log_requests:50 | GET /t3shield/api/geojson/regions - 200 - 2.808s
2025-07-04 10:25:01 | INFO | t3shield | log_requests:50 | GET /t3shield/api/geojson/provinces - 200 - 11.773s
2025-07-04 10:25:01 | INFO | t3shield | log_requests:50 | GET /t3shield/api/geojson/regions - 200 - 8.961s
2025-07-04 10:25:10 | INFO | t3shield | log_requests:50 | GET /api/analyses - 200 - 0.881s
2025-07-04 10:25:24 | INFO | t3shield | log_requests:50 | GET /t3shield/api/geojson/provinces - 200 - 23.283s
2025-07-04 10:28:09 | INFO | t3shield | log_requests:50 | GET /api/analyses - 200 - 1.016s
2025-07-04 10:28:10 | INFO | t3shield | log_requests:50 | GET /t3shield/api/geojson/regions - 200 - 2.544s
