2025-07-03 11:39:53 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_villes - 200 - 1.734s
2025-07-03 11:39:54 | INFO | t3shield | get_lycees:2973 | Found 803 Lycees
2025-07-03 11:39:54 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_lycees - 200 - 1.924s
2025-07-03 11:39:54 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.199s
2025-07-03 11:39:54 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.256s
2025-07-03 11:39:54 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.266s
2025-07-03 11:39:54 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.197s
2025-07-03 11:39:54 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.241s
2025-07-03 11:39:54 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.316s
2025-07-03 11:39:56 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/regions - 200 - 1.864s
2025-07-03 11:40:03 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/provinces - 200 - 6.696s
2025-07-03 11:40:05 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.174s
2025-07-03 11:40:05 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.258s
2025-07-03 11:40:05 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.295s
2025-07-03 11:40:20 | INFO | t3shield | get_arefs:2800 | Found 13 AREFs
2025-07-03 11:40:20 | INFO | t3shield | get_villes:2911 | Found 83 Villes
2025-07-03 11:40:20 | INFO | t3shield | get_dps:2854 | Found 83 DPs
2025-07-03 11:40:20 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_arefs - 200 - 1.291s
2025-07-03 11:40:20 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_villes - 200 - 1.308s
2025-07-03 11:40:20 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_dps - 200 - 1.313s
2025-07-03 11:40:20 | INFO | t3shield | get_lycees:2973 | Found 803 Lycees
2025-07-03 11:40:20 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_lycees - 200 - 1.480s
2025-07-03 11:40:20 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.173s
2025-07-03 11:40:20 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.259s
2025-07-03 11:40:20 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.260s
2025-07-03 11:40:22 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 1.914s
2025-07-03 11:47:23 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.042s
2025-07-03 11:47:25 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.079s
2025-07-03 11:47:27 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.068s
2025-07-03 11:47:30 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.088s
2025-07-03 11:48:16 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.099s
